,title,location,date,link
190,Executive Assistant *Marketing and Project Management Components," (Boston, MA)",Jan 12,https://boston.craigslist.org/gbs/ofc/d/executive-assistant-marketing-and/6793651132.html
191,Administrative/Operations Assistant Wanted at Mission-Driven Biotech!," (Cambridge, MA)",Jan 12,https://boston.craigslist.org/gbs/ofc/d/administrative-operations-assistant/6793650050.html
192,Receptionist/Part time, (Manchester-by-the-Sea),Jan 12,https://boston.craigslist.org/nos/ofc/d/manchester-receptionist-part-time/6793647983.html
193,Temporary Help for Accounting Firm for Busy Season," (Wellesley Hills, MA)",Jan 12,https://boston.craigslist.org/bmw/ofc/d/newton-lower-falls-temporary-help-for/6793430035.html
194,Shipping Support Agent, (ROSLINDALE),Jan 12,https://boston.craigslist.org/gbs/ofc/d/roslindale-shipping-support-agent/6793290331.html
195,Office Manager, (Danvers),Jan 12,https://boston.craigslist.org/nos/ofc/d/danvers-office-manager/6793130764.html
196,Semi-retired (55 year old) Executive needs Personal Assistant, (Marblehead),Jan 11,https://boston.craigslist.org/nos/ofc/d/marblehead-semi-retired-55-year-old/6792809058.html
197,"Assist author: social media, admin, launch of high-profile book", (Cambridge),Jan 11,https://boston.craigslist.org/gbs/ofc/d/cambridge-assist-author-social-media/6792802209.html
198,Operations Assistant in North Shore, (Boston: North Shore),Jan 11,https://boston.craigslist.org/nos/ofc/d/peabody-operations-assistant-in-north/6792777579.html
199,Now Hiring: HVAC Dispatcher/Customer Service Rep., (Tewksbury),Jan 11,https://boston.craigslist.org/nwb/ofc/d/now-hiring-hvac-dispatcher-customer/6792753953.html
200,Office Administrator/Receptionist, (Boston),Jan 11,https://boston.craigslist.org/gbs/ofc/d/boston-office-administrator-receptionist/6792727391.html
201,Personal Assistant Needed," (Cambridge, MA)",Jan 11,https://boston.craigslist.org/gbs/ofc/d/allston-personal-assistant-needed/6792680214.html
202,Bilingual Receptionist/Admin Assistant - Family Focused Agency, (Boston),Jan 11,https://boston.craigslist.org/gbs/ofc/d/boston-bilingual-receptionist-admin/6792672221.html
203,Data Entry Assistant, (Waltham),Jan 11,https://boston.craigslist.org/gbs/ofc/d/waltham-data-entry-assistant/6792641457.html
204,Inbound Mail Analyst, (Waltham),Jan 11,https://boston.craigslist.org/gbs/ofc/d/waltham-inbound-mail-analyst/6792641416.html
205,Operations Associate - Psychology Practice (Newton Watertown),N/A,Jan 11,https://boston.craigslist.org/gbs/ofc/d/operations-associate-psychology/6792625891.html
206,Intake Coordinator - Psychology Practice, (Financial District),Jan 11,https://boston.craigslist.org/gbs/ofc/d/boston-intake-coordinator-psychology/6792624745.html
207,Operations Associate, (Financial District),Jan 11,https://boston.craigslist.org/gbs/ofc/d/boston-operations-associate/6792621531.html
208,Front Office Receptionist, (Lowell),Jan 11,https://boston.craigslist.org/nwb/ofc/d/lowell-front-office-receptionist/6792584192.html
209,Compliance Assistant, (Plymouth),Jan 11,https://boston.craigslist.org/sob/ofc/d/north-pembroke-compliance-assistant/6792550978.html
210,Office Assistant," (North Billerica, MA)",Jan 11,https://boston.craigslist.org/gbs/ofc/d/north-billerica-office-assistant/6792543997.html
211,Senior Administrative Associate," (Boston, MA)",Jan 11,https://boston.craigslist.org/gbs/ofc/d/boston-senior-administrative-associate/6792542883.html
212,Administrative Assistant," (Needham, MA)",Jan 11,https://boston.craigslist.org/gbs/ofc/d/needham-administrative-assistant/6792508766.html
213,Part-Time Office Administrator, (Boston),Jan 11,https://boston.craigslist.org/gbs/ofc/d/boston-part-time-office-administrator/6792435522.html
214,Wonderful Administrative Opportunity, (Hopkinton),Jan 11,https://boston.craigslist.org/bmw/ofc/d/hopkinton-wonderful-administrative/6792408807.html
215,Administrative/ Office Manager, (Boston: South Shore),Jan 11,https://boston.craigslist.org/sob/ofc/d/lakeville-administrative-office-manager/6792405523.html
216,Spanish - English interpreter at our office, (Westford),Jan 11,https://boston.craigslist.org/bmw/ofc/d/westford-spanish-english-interpreter-at/6792397808.html
217,Assistant Property Manager, (Brookline),Jan 11,https://boston.craigslist.org/gbs/ofc/d/brookline-assistant-property-manager/6792395879.html
218,HIRING EVENT FOR CALL CENTER/CUSTOMER SERVICE!, (Woburn),Jan 11,https://boston.craigslist.org/nos/ofc/d/woburn-hiring-event-for-call-center/6792373198.html
219,Project Support Coordinator," (Lexington, MA)",Jan 11,https://boston.craigslist.org/gbs/ofc/d/lexington-project-support-coordinator/6792372722.html
220,Insurance Agency- Customer Service Representative, (Saugus MA),Jan 11,https://boston.craigslist.org/nos/ofc/d/saugus-insurance-agency-customer/6792342394.html
221,Personal / Executive Assistant to Super Cool High Profile Investor,N/A,Jan 11,https://boston.craigslist.org/gbs/ofc/d/san-francisco-personal-executive/6792325301.html
222,Administrative / Office Assistant,N/A,Jan 11,https://boston.craigslist.org/sob/ofc/d/administrative-office-assistant/6792308449.html
223,Part Time Book Keeper/Admin, (Milton),Jan 11,https://boston.craigslist.org/gbs/ofc/d/milton-part-time-book-keeper-admin/6792295519.html
224,Medical Billing Coordinator, (Framingham),Jan 11,https://boston.craigslist.org/bmw/ofc/d/framingham-medical-billing-coordinator/6792257749.html
225,Experienced EA - Assistant to CFO needed,N/A,Jan 11,https://boston.craigslist.org/gbs/ofc/d/boston-experienced-ea-assistant-to-cfo/6792227042.html
226,Administrative Assistant, (Billerica),Jan 11,https://boston.craigslist.org/gbs/ofc/d/nutting-lake-administrative-assistant/6792225638.html
227,Part time Clerical Assistant (temporary position), (Wellesley),Jan 11,https://boston.craigslist.org/bmw/ofc/d/wellesley-hills-part-time-clerical/6792224142.html
228,Admin Assist./ Front desk ( Must Speak Portuguese)," (Malden, MA)",Jan 10,https://boston.craigslist.org/gbs/ofc/d/admin-assist-front-desk-must-speak/6791987322.html
229,Administrative Assistant, (NEEDHAM),Jan 10,https://boston.craigslist.org/bmw/ofc/d/newton-upper-falls-administrative/6791981472.html
230,Office Manager (Must speak Portuguese & Spanish),N/A,Jan 10,https://boston.craigslist.org/gbs/ofc/d/office-manager-must-speak-portuguese/6791975749.html
231,Administrative Assistant, (Boston: Boston/Cambridge/Brookline),Jan 10,https://boston.craigslist.org/gbs/ofc/d/boston-administrative-assistant/6791883303.html
232,HIRING EVENT FOR CALL CENTER/CUSTOMER SERVICE!, (Woburn),Jan 10,https://boston.craigslist.org/nwb/ofc/d/woburn-hiring-event-for-call-center/6791821422.html
233,"Executive Assistant - Consulting Firm, up to $80/k",N/A,Jan 10,https://boston.craigslist.org/gbs/ofc/d/boston-executive-assistant-consulting/6791819559.html
234,Accounts Payable/ Accounts Receivable, (New Bedford MA),Jan 10,https://boston.craigslist.org/sob/ofc/d/new-bedford-accounts-payable-accounts/6791741193.html
235,Receptionist/Administrative Assistant," (45 Bromfield Street Boston, MA)",Jan 10,https://boston.craigslist.org/gbs/ofc/d/boston-receptionist-administrative/6791728916.html
236,Part-Time Administrative Assistant,N/A,Jan 10,https://boston.craigslist.org/gbs/ofc/d/boston-part-time-administrative/6791703854.html
237,Executive Assistant, (Beverly),Jan 10,https://boston.craigslist.org/nos/ofc/d/beverly-executive-assistant/6791628015.html
238,"Part time BU, NE,BCB, Berklee, or Simmons Student Assistant Wanted NOW", (Fenway/Kenmore),Jan 10,https://boston.craigslist.org/gbs/ofc/d/part-time-bu-nebcb-berklee-or-simmons/6791609019.html
239,Part Time Events Assistant - MetroWest, (Waltham),Jan 10,https://boston.craigslist.org/gbs/ofc/d/waltham-part-time-events-assistant/6791576376.html
240,Executive Assistant for Growing Biotech!," (Waltham, MA)",Jan 10,https://boston.craigslist.org/bmw/ofc/d/north-waltham-executive-assistant-for/6791574449.html
241,Full Time Homecare Program Coordinator/Bi-lingual," (Newton, MA)",Jan 10,https://boston.craigslist.org/gbs/ofc/d/full-time-homecare-program-coordinator/6791546496.html
242,Receptionist- Full Time," (Newton, , MA)",Jan 10,https://boston.craigslist.org/gbs/ofc/d/newton-receptionist-full-time/6791542072.html
243,Office Administrator, (Boston),Jan 10,https://boston.craigslist.org/gbs/ofc/d/boston-office-administrator/6791540042.html
244,QuickBooks Bookkeeping Office Admin Job Training and Certifications," (Woburn & Dorchester/Milton, MA)",Jan 10,https://boston.craigslist.org/gbs/ofc/d/quickbooks-bookkeeping-office-admin-job/6791508829.html
245,Secretary, (Bedford - MA),Jan 10,https://boston.craigslist.org/gbs/ofc/d/bedford-secretary/6791503382.html
246,Office Manager - Meadhall, (Kendall Sq - Cambridge),Jan 10,https://boston.craigslist.org/gbs/ofc/d/cambridge-office-manager-meadhall/6791497397.html
247,Part time office manager/Bookkeeper, (Framingham),Jan 10,https://boston.craigslist.org/bmw/ofc/d/framingham-part-time-office-manager/6791366742.html
248,Creative Salon Coordinator Needed for Innovative Salon," (Boston, MA)",Jan 10,https://boston.craigslist.org/gbs/ofc/d/boston-creative-salon-coordinator/6791491177.html
249,HIRING EVENT FOR CALL CENTER/CUSTOMER SERVICE!, (Woburn),Jan 10,https://boston.craigslist.org/nwb/ofc/d/woburn-hiring-event-for-call-center/6791465833.html
250,Administrative Assistant,N/A,Jan 10,https://boston.craigslist.org/gbs/ofc/d/woburn-administrative-assistant/6791433889.html
251,Automotive Accounting Pro!," (Woburn, MA)",Jan 10,https://boston.craigslist.org/gbs/ofc/d/automotive-accounting-pro/6791432476.html
252,Full Time Administrator," (Somerville, MA)",Jan 10,https://boston.craigslist.org/gbs/ofc/d/somerville-full-time-administrator/6791394255.html
253,Medical Biller and Coder, (Waltham),Jan 10,https://boston.craigslist.org/gbs/ofc/d/waltham-medical-biller-and-coder/6791376355.html
254,Data entry specialist, (Needham),Jan 10,https://boston.craigslist.org/bmw/ofc/d/needham-data-entry-specialist/6791370470.html
255,Temporary Executive Assistant, (Boston: Boston/Cambridge/Brookline),Jan  9,https://boston.craigslist.org/gbs/ofc/d/cambridge-temporary-executive-assistant/6791155436.html
256,Senior Administrative Assistant, (Boston: Boston/Cambridge/Brookline),Jan  9,https://boston.craigslist.org/gbs/ofc/d/boston-senior-administrative-assistant/6791111970.html
257,Office Assistant, (Danvers),Jan  9,https://boston.craigslist.org/nos/ofc/d/danvers-office-assistant/6791093114.html
258,Part Time Snackologist & Client Support Team Member @CIC, (Kendall Square),Jan  9,https://boston.craigslist.org/gbs/ofc/d/cambridge-part-time-snackologist-client/6791045467.html
259,Receptionist, (Boston: Boston/Cambridge/Brookline),Jan  9,https://boston.craigslist.org/gbs/ofc/d/boston-receptionist/6791007001.html
260,Executive Assistant to the CIO,N/A,Jan  9,https://boston.craigslist.org/gbs/ofc/d/boston-executive-assistant-to-the-cio/6791000290.html
261,Assistant Residential Superindendent, (Greater Boston),Jan  9,https://boston.craigslist.org/gbs/ofc/d/milton-assistant-residential/6790979865.html
262,Residential Project Manager, (Greater Boston),Jan  9,https://boston.craigslist.org/gbs/ofc/d/milton-residential-project-manager/6790979302.html
263,Residential Superintendent, (Greater Boston),Jan  9,https://boston.craigslist.org/gbs/ofc/d/milton-residential-superintendent/6790972964.html
264,Field Interviewer,N/A,Jan  9,https://boston.craigslist.org/gbs/ofc/d/boston-field-interviewer/6790958356.html
265,Executive Assistant / Office Manager- Temp! - up to $23/hr., (North of Boston),Jan  9,https://boston.craigslist.org/nos/ofc/d/boston-executive-assistant-office/6790950886.html
266,Executive Administrator-Investment Management-up to $25-$30/hour-Temp, (North of Boston),Jan  9,https://boston.craigslist.org/nos/ofc/d/boston-executive-administrator/6790929311.html
267,Admissions Counselor," (Woburn, MA)",Jan  9,https://boston.craigslist.org/nos/ofc/d/boston-admissions-counselor/6790903729.html
268,Office Manager - Part Time, (Wilmington),Jan  9,https://boston.craigslist.org/nos/ofc/d/office-manager-part-time/6790845736.html
269,Field Interviewer," (Salem, MA)",Jan  9,https://boston.craigslist.org/gbs/ofc/d/salem-field-interviewer/6790799763.html
270,Part Time Bookkeeper Real Estate Management and Development Firm, (South Boston),Jan  9,https://boston.craigslist.org/gbs/ofc/d/boston-part-time-bookkeeper-real-estate/6790778866.html
271,Medical Device Firm Seeks Recruiting Coordinator," (Waltham, MA)",Jan  9,https://boston.craigslist.org/bmw/ofc/d/waltham-medical-device-firm-seeks/6790771852.html
272,Office Service Adviser and Customer Service Representative, (Auto-Tec Shadley Brothers),Jan  9,https://boston.craigslist.org/sob/ofc/d/whitman-office-service-adviser-and/6790702276.html
273,Experienced Receptionist - Full Time, (Watertown MA),Jan  9,https://boston.craigslist.org/gbs/ofc/d/watertown-experienced-receptionist-full/6790701492.html
274,RECEPTIONIST, (Downtown Boston),Jan  9,https://boston.craigslist.org/gbs/ofc/d/receptionist/6790662202.html
275,DME Medical  Biller  part time, (MALDEN),Jan  9,https://boston.craigslist.org/gbs/ofc/d/malden-dme-medical-biller-part-time/6790640938.html
276,Executive Assistant, (Boston: Boston/Cambridge/Brookline),Jan  9,https://boston.craigslist.org/gbs/ofc/d/boston-executive-assistant/6790633772.html
277,Operations Coordinator (S_720119),N/A,Jan  9,https://boston.craigslist.org/gbs/ofc/d/boston-operations-coordinator-s720119/6790627296.html
278,Executive Assistant (S_720021),N/A,Jan  9,https://boston.craigslist.org/nos/ofc/d/boston-executive-assistant-s720021/6790625722.html
279,Customer Service Openings!,N/A,Jan  9,https://boston.craigslist.org/sob/ofc/d/accord-customer-service-openings/6790624004.html
280,Reservations Support Agent," (West Concord, MA)",Jan  9,https://boston.craigslist.org/bmw/ofc/d/maynard-reservations-support-agent/6790602708.html
281,Receptionist - Bilingual, (Boston),Jan  9,https://boston.craigslist.org/gbs/ofc/d/boston-receptionist-bilingual/6790585512.html
282,Executive Assistant to VP of Marketing,N/A,Jan  9,https://boston.craigslist.org/gbs/ofc/d/boston-executive-assistant-to-vp-of/6790581689.html
283,Claims Rep,N/A,Jan  9,https://boston.craigslist.org/gbs/ofc/d/boston-claims-rep/6790569699.html
284,Treatment Coordinator, (Ashland),Jan  9,https://boston.craigslist.org/bmw/ofc/d/ashland-treatment-coordinator/6790504219.html
285,Office Coordinator, (Hingham),Jan  8,https://boston.craigslist.org/sob/ofc/d/hingham-office-coordinator/6790352626.html
286,Part-Time Office Work, (Cambridge),Jan  8,https://boston.craigslist.org/gbs/ofc/d/cambridge-part-time-office-work/6790344488.html
287,Executive Assistant/Personal Assistant, (Boston: Boston/Cambridge/Brookline),Jan  8,https://boston.craigslist.org/gbs/ofc/d/boston-executive-assistant-personal/6790329904.html
288,Receptionist/Office help, (Framingham),Jan  8,https://boston.craigslist.org/gbs/ofc/d/framingham-receptionist-office-help/6790320869.html
289,***Office Assistant*** $18/hr, (Braintree),Jan  8,https://boston.craigslist.org/sob/ofc/d/braintree-office-assistant-18-hr/6790320317.html
290,Temp to Hire Sr. Office Manager, (Boston: Boston/Cambridge/Brookline),Jan  8,https://boston.craigslist.org/gbs/ofc/d/cambridge-temp-to-hire-sr-office-manager/6790285287.html
291,Temporary Delivery Specialist, (Boston: Boston/Cambridge/Brookline),Jan  8,https://boston.craigslist.org/gbs/ofc/d/boston-temporary-delivery-specialist/6790285247.html
292,Office manager, (Malden),Jan  8,https://boston.craigslist.org/nos/ofc/d/malden-office-manager/6790249212.html
293,Administrative Assistant, (Norwell),Jan  8,https://boston.craigslist.org/sob/ofc/d/norwell-administrative-assistant/6790206332.html
294,Adminstrative Assistant," (Waltham, MA)",Jan  8,https://boston.craigslist.org/bmw/ofc/d/waltham-adminstrative-assistant/6790201248.html
295,Administrative Assistant," (Boston, MA)",Jan  8,https://boston.craigslist.org/gbs/ofc/d/boston-administrative-assistant/6790191896.html
296,Temp to Hire Administrative Assistant, (Boston: Boston/Cambridge/Brookline),Jan  8,https://boston.craigslist.org/gbs/ofc/d/boston-temp-to-hire-administrative/6790177725.html
297,Executive Coordinator, (Boston: Boston/Cambridge/Brookline),Jan  8,https://boston.craigslist.org/gbs/ofc/d/boston-executive-coordinator/6790177667.html
298,Client Services Analyst, (Waltham),Jan  8,https://boston.craigslist.org/gbs/ofc/d/waltham-client-services-analyst/6790177616.html
299,Temp to Hire Administrative Assistant, (Boston: Boston/Cambridge/Brookline),Jan  8,https://boston.craigslist.org/gbs/ofc/d/boston-temp-to-hire-administrative/6790177529.html
300,Administrative Coordinator," (Boston, MA)",Jan  8,https://boston.craigslist.org/gbs/ofc/d/boston-administrative-coordinator/6790157148.html
301,Collection Agency - Call Center $13 -  $35 an hour to start, (Wobun),Jan  8,https://boston.craigslist.org/gbs/ofc/d/woburn-collection-agency-call-centeran/6790144564.html
302,Biotech Needs Executive Admin ASAP- up to $85k!," (Lexington, MA)",Jan  8,https://boston.craigslist.org/nos/ofc/d/lexington-biotech-needs-executive-admin/6790111886.html
303,Service Admin for Full Service HVAC Company,N/A,Jan  8,https://boston.craigslist.org/sob/ofc/d/norwood-service-admin-for-full-service/6790097039.html
304,Financial Aid/ Admin Assistant, (Woburn),Jan  8,https://boston.craigslist.org/nwb/ofc/d/woburn-financial-aid-admin-assistant/6790061022.html
305,Lease Administration Analyst, (Woburn),Jan  8,https://boston.craigslist.org/gbs/ofc/d/woburn-lease-administration-analyst/6790060609.html
306,Executive Administrator,N/A,Jan  8,https://boston.craigslist.org/gbs/ofc/d/boston-executive-administrator/6790045618.html
307,Russian-speaking Receptionist / Front Desk Ambassador, (Newton),Jan  8,https://boston.craigslist.org/gbs/ofc/d/newton-highlands-russian-speaking/6789970190.html
308,Receptionist needed for a Biotech in Waltham!," (Waltham, MA)",Jan  8,https://boston.craigslist.org/nos/ofc/d/waltham-receptionist-needed-for-biotech/6789969657.html
309,Admin Warranty Department, (Woburn),Jan  8,https://boston.craigslist.org/gbs/ofc/d/woburn-admin-warranty-department/6789937721.html
310,Tech Startup Needs Admin Assistant ASAP- up to $50k," (Cambridge, MA)",Jan  8,https://boston.craigslist.org/gbs/ofc/d/boston-tech-startup-needs-admin/6789931568.html
311,Dental Patient Coordinator, (Waltham),Jan  8,https://boston.craigslist.org/bmw/ofc/d/waltham-dental-patient-coordinator/6789931459.html
312,Operations Administrator, (Foxboro),Jan  8,https://boston.craigslist.org/gbs/ofc/d/foxboro-operations-administrator/6789908679.html
313,"Immediate Opening for Data Entry Associate in Watertown, MA"," (Watertown, MA)",Jan  8,https://boston.craigslist.org/gbs/ofc/d/watertown-immediate-opening-for-data/6789907082.html
314,Shipping Support Agent, (ROSLINDALE),Jan  8,https://boston.craigslist.org/gbs/ofc/d/roslindale-shipping-support-agent/6789885673.html
315,Receptionist/Office Assistant P/T, (Brighton),Jan  8,https://boston.craigslist.org/gbs/ofc/d/receptionist-office-assistant-t/6789872832.html
316,Customer Service/Office Help Needed, (Canton),Jan  8,https://boston.craigslist.org/sob/ofc/d/dedham-customer-service-office-help/6789840243.html
317,Human Resources Coordinator,N/A,Jan  8,https://boston.craigslist.org/gbs/ofc/d/boston-human-resources-coordinator/6789818413.html
318,Part-time Administrative Assistant, (Boston: Boston/Cambridge/Brookline),Jan  8,https://boston.craigslist.org/gbs/ofc/d/boston-part-time-administrative/6789804586.html
319,Seeking HGTV-Loving Admin Assistant for Family RE Business," (Somerville, MA)",Jan  8,https://boston.craigslist.org/gbs/ofc/d/somerville-seeking-hgtv-loving-admin/6789784799.html
320,Executive Administrative Assistant, (Cambridge),Jan  8,https://boston.craigslist.org/gbs/ofc/d/cambridge-executive-administrative/6789769640.html
321,Front Desk Manager, (Boston),Jan  8,https://boston.craigslist.org/gbs/ofc/d/front-desk-manager/6789769075.html
322,Administrative Professional with 6+ Years of Experience Needed, (Cambridge),Jan  8,https://boston.craigslist.org/gbs/ofc/d/cambridge-administrative-professional/6789755860.html
323,Administrative Assistant," (Nashua, NH)",Jan  8,https://boston.craigslist.org/gbs/ofc/d/nashua-administrative-assistant/6789741447.html
324,HIRING EVENT FOR CALL CENTER/CUSTOMER SERVICE!, (Woburn),Jan  8,https://boston.craigslist.org/nwb/ofc/d/woburn-hiring-event-for-call-center/6789729056.html
325,Administrative Assistant, (Boston: Boston/Cambridge/Brookline),Jan  7,https://boston.craigslist.org/gbs/ofc/d/cambridge-administrative-assistant/6789537430.html
326,Customer Service Analyst, (Waltham),Jan  7,https://boston.craigslist.org/gbs/ofc/d/waltham-customer-service-analyst/6789492647.html
327,Rockstar Executive Assistant Needed at Booming Construction Company," (Brighton, MA)",Jan  7,https://boston.craigslist.org/gbs/ofc/d/boston-rockstar-executive-assistant/6789365848.html
328,Entry Level HR," (Newton Highlands, MA)",Jan  7,https://boston.craigslist.org/gbs/ofc/d/newton-highlands-entry-level-hr/6789343741.html
329,HIRING EVENT FOR CALL CENTER/CUSTOMER SERVICE!, (Woburn),Jan  7,https://boston.craigslist.org/nos/ofc/d/woburn-hiring-event-for-call-center/6789323848.html
330,Executive Assistant - First Hire to CEO in Biotech Office!," (Cambridge, MA)",Jan  7,https://boston.craigslist.org/gbs/ofc/d/cambridge-executive-assistant-first/6789322969.html
331,Biotech Needs Executive Admin- up to $110k!!," (Cambridge, MA)",Jan  7,https://boston.craigslist.org/nos/ofc/d/boston-biotech-needs-executive-admin-up/6789291169.html
332,Executive Assistant Needed for Growing Biotech - up to $90k!," (Cambridge, MA)",Jan  7,https://boston.craigslist.org/nos/ofc/d/boston-executive-assistant-needed-for/6789291157.html
333,Data Entry / General Office Help, (Woburn),Jan  7,https://boston.craigslist.org/gbs/ofc/d/woburn-data-entry-general-office-help/6789208683.html
334,Administrative Executive Assistant to 60K, (Boston: Boston/Cambridge/Brookline),Jan  7,https://boston.craigslist.org/gbs/ofc/d/boston-administrative-executive/6789207985.html
335,Senior Administrative Assistant, (Boston: Boston/Cambridge/Brookline),Jan  7,https://boston.craigslist.org/gbs/ofc/d/cambridge-senior-administrative/6789207886.html
336,Temp to Hire Administrative Assistant, (Boston: Boston/Cambridge/Brookline),Jan  7,https://boston.craigslist.org/gbs/ofc/d/boston-temp-to-hire-administrative/6789207861.html
337,ASSISTANT TO THEATER/FILM EXECUTIVE (Immediate need),N/A,Jan  7,https://boston.craigslist.org/gbs/ofc/d/belmont-assistant-to-theater-film/6789148931.html
338,property mgmt /admin/Marketing  Part Time., (Needham),Jan  7,https://boston.craigslist.org/bmw/ofc/d/needham-property-mgmt-admin-marketing/6789028542.html
339,Academic Institution Seeks Project Assistant / Executive Assistant," (Cambridge, MA)",Jan  7,https://boston.craigslist.org/gbs/ofc/d/cambridge-academic-institution-seeks/6789008280.html
340,"Part time BU, NE,BCB, Berklee, or Simmons Student Assistant Wanted NOW", (Fenway/Kenmore),Jan  7,https://boston.craigslist.org/gbs/ofc/d/part-time-bu-nebcb-berklee-or-simmons/6789008223.html
341,Part Time Medical Receptionist, (Winchester),Jan  7,https://boston.craigslist.org/gbs/ofc/d/winchester-part-time-medical/6788979373.html
342,HIRING EVENT FOR CALL CENTER/CUSTOMER SERVICE!, (Woburn),Jan  7,https://boston.craigslist.org/nwb/ofc/d/woburn-hiring-event-for-call-center/6788949307.html
343,Receptionist-(Part-time) $13-14.50 per hr depending on experience, (Brockton),Jan  7,https://boston.craigslist.org/sob/ofc/d/receptionist-part-timeper-hr-depending/6788946951.html
344,Administrative Assistant/Proofreader, (Waltham),Jan  7,https://boston.craigslist.org/gbs/ofc/d/waltham-administrative-assistant/6788945869.html
345,Dental Business Team / Insurance Processor,N/A,Jan  7,https://boston.craigslist.org/nos/ofc/d/dental-business-team-insurance-processor/6788934707.html
346,Admin Assistant to Office manager," (Beverly, MA)",Jan  7,https://boston.craigslist.org/nos/ofc/d/admin-assistant-to-office-manager/6788916238.html
347,Strategic Leader Needed for our Operations/Admin Team!," (Boston, MA)",Jan  7,https://boston.craigslist.org/gbs/ofc/d/boston-strategic-leader-needed-for-our/6788907087.html
348,Experienced EA - Comp to $75/k,N/A,Jan  7,https://boston.craigslist.org/gbs/ofc/d/boston-experienced-ea-comp-to-75/6788896884.html
349,Experienced Dental Office Front Desk Receptionist, (Waltham),Jan  7,https://boston.craigslist.org/bmw/ofc/d/waltham-experienced-dental-office-front/6788884934.html
350,Administrative  Office Assistant needed, (Framingham),Jan  7,https://boston.craigslist.org/bmw/ofc/d/framingham-administrative-office/6788872295.html
351,Office Assistant, (Woburn),Jan  7,https://boston.craigslist.org/gbs/ofc/d/woburn-office-assistant/6788863254.html
352,Creative Salon Coordinator Needed for Innovative Salon, (South End),Jan  7,https://boston.craigslist.org/gbs/ofc/d/boston-creative-salon-coordinator/6788854052.html
353,Bilingual Spanish Front Desk Receptionist, (Boston (Dorchester)),Jan  6,https://boston.craigslist.org/gbs/ofc/d/boston-bilingual-spanish-front-desk/6788760648.html
354,Legal Assistant, (Cambridge),Jan  6,https://boston.craigslist.org/gbs/ofc/d/cambridge-legal-assistant/6788634092.html
355,4 day work week service advisor Will train, (Norwood),Jan  6,https://boston.craigslist.org/gbs/ofc/d/westwood-4-day-work-week-service/6788400113.html
356,Front Desk Receptionist: Part-time, (Belmont),Jan  5,https://boston.craigslist.org/gbs/ofc/d/cambridge-front-desk-receptionist-part/6788041589.html
357,Executive Assistant, (Auburndale),Jan  5,https://boston.craigslist.org/gbs/ofc/d/auburndale-executive-assistant/6787903813.html
358,HIRING EVENT FOR CALL CENTER/CUSTOMER SERVICE!, (Woburn),Jan  5,https://boston.craigslist.org/nos/ofc/d/woburn-hiring-event-for-call-center/6787848449.html
359,Assistant Office Manager -Full Time, (Tyngsboro MA),Jan  5,https://boston.craigslist.org/nwb/ofc/d/assistant-office-manager-full-time/6787470846.html
360,Licensing Analyst," (Boston, MA)",Jan  5,https://boston.craigslist.org/gbs/ofc/d/boston-licensing-analyst/6787432971.html
361,Executive Administrative Assistant to Founder/CEO," (Dorchester, MA)",Jan  5,https://boston.craigslist.org/gbs/ofc/d/boston-executive-administrative/6787411203.html
362,Customer Service Administrator-Dispatcher, (Sharon),Jan  4,https://boston.craigslist.org/sob/ofc/d/sharon-customer-service-administrator/6787296517.html
363,Sales Support Administrator - 2604BR," (Waltham, MA)",Jan  4,https://boston.craigslist.org/gbs/ofc/d/waltham-sales-support-administrator/6787263569.html
364,Office/Marketing Administrator - 2604BR," (Waltham, MA)",Jan  4,https://boston.craigslist.org/gbs/ofc/d/waltham-office-marketing-administrator/6787262575.html
365,Hospital Console telephone operator positions, (Boston),Jan  4,https://boston.craigslist.org/gbs/ofc/d/boston-hospital-console-telephone/6787226303.html
366,Administrative Assistant - Medical, (Norwell),Jan  4,https://boston.craigslist.org/sob/ofc/d/accord-administrative-assistant-medical/6787164932.html
367,Data Entry Operator, (Waltham),Jan  4,https://boston.craigslist.org/gbs/ofc/d/waltham-data-entry-operator/6787163941.html
368,secretary/ office manager, (Methuen),Jan  4,https://boston.craigslist.org/nwb/ofc/d/methuen-secretary-office-manager/6787156270.html
369,Data entry, (Westwood),Jan  4,https://boston.craigslist.org/bmw/ofc/d/norwood-data-entry/6787110280.html
370,Receptionist / Admin," (Stoughton, MA)",Jan  4,https://boston.craigslist.org/sob/ofc/d/stoughton-receptionist-admin/6787095174.html
371,*****OFFICE MANAGER*****, (BOSTON),Jan  4,https://boston.craigslist.org/gbs/ofc/d/housatonic-office-manager/6787079590.html
372,Documentation Specialist, (Wellesley),Jan  4,https://boston.craigslist.org/bmw/ofc/d/wellesley-documentation-specialist/6787077615.html
373,Medical Deficient Chart Specialist, (Bedford),Jan  4,https://boston.craigslist.org/bmw/ofc/d/pinehurst-medical-deficient-chart/6787074382.html
374,Assistant Property Manager," (Boston, MA)",Jan  4,https://boston.craigslist.org/gbs/ofc/d/boston-assistant-property-manager/6787065566.html
375,"Office Aide, Entry Level Role", (Watertown),Jan  4,https://boston.craigslist.org/nos/ofc/d/office-aide-entry-level-role/6787064589.html
376,Full Time Homecare Program Coordinator/Bi-lingual," (Newton, MA)",Jan  4,https://boston.craigslist.org/gbs/ofc/d/full-time-homecare-program-coordinator/6787060990.html
